"metropolitan_area","rate","rank"
"Baton Rouge, LA Metropolitan Statistical Area",6.2,106
"Kansas City, MO-KS Metropolitan Statistical Area",6.2,106
"Lebanon, PA Metropolitan Statistical Area",6.2,106
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",6.2,106
"Waco, TX Metropolitan Statistical Area",6.2,106
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",6.3,112
"Birmingham-Hoover, AL Metropolitan Statistical Area",6.3,112
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",6.3,112
"Cape Girardeau, MO-IL Metropolitan Statistical Area",6.3,112
"Charleston-North Charleston, SC Metropolitan Statistical Area",6.3,112
"Corpus Christi, TX Metropolitan Statistical Area",6.3,112
"Danbury, CT Metropolitan NECTA",6.3,112
"Durham-Chapel Hill, NC Metropolitan Statistical Area",6.3,112
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",6.3,112
"Huntsville, AL Metropolitan Statistical Area",6.3,112
"Lynchburg, VA Metropolitan Statistical Area",6.3,112
"Raleigh, NC Metropolitan Statistical Area",6.3,112
"Sherman-Denison, TX Metropolitan Statistical Area",6.3,112
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",6.3,112
"Asheville, NC Metropolitan Statistical Area",6.4,126
"Charleston, WV Metropolitan Statistical Area",6.4,126
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",6.4,126
"Green Bay, WI Metropolitan Statistical Area",6.4,126
"Lake Charles, LA Metropolitan Statistical Area",6.4,126
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",6.4,126
"Oshkosh-Neenah, WI Metropolitan Statistical Area",6.4,126
"Parkersburg-Vienna, WV Metropolitan Statistical Area",6.4,126
"Tallahassee, FL Metropolitan Statistical Area",6.4,126
"Columbus, OH Metropolitan Statistical Area",6.5,135
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",6.5,135
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",6.5,135
"Tyler, TX Metropolitan Statistical Area",6.5,135
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",6.6,139
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",6.6,139
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",6.6,139
"Greeley, CO Metropolitan Statistical Area",6.6,139
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",6.6,139
"New Orleans-Metairie, LA Metropolitan Statistical Area",6.6,139
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",6.6,139
"Bloomington, IL Metropolitan Statistical Area",6.7,146
"Columbia, SC Metropolitan Statistical Area",6.7,146
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",6.7,146
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",6.7,146
"Lewiston-Auburn, ME Metropolitan NECTA",6.7,146
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",6.7,146
"Wausau, WI Metropolitan Statistical Area",6.7,146
"York-Hanover, PA Metropolitan Statistical Area",6.7,146
"Albuquerque, NM Metropolitan Statistical Area",6.8,154
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",6.8,154
"Cleveland-Elyria, OH Metropolitan Statistical Area",6.8,154
"Farmington, NM Metropolitan Statistical Area",6.8,154
"Gainesville, GA Metropolitan Statistical Area",6.8,154
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",6.8,154
"Pittsburgh, PA Metropolitan Statistical Area",6.8,154
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",6.8,154
"Tucson, AZ Metropolitan Statistical Area",6.8,154
"Alexandria, LA Metropolitan Statistical Area",6.9,163
"Jonesboro, AR Metropolitan Statistical Area",6.9,163
"Napa, CA Metropolitan Statistical Area",6.9,163
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",6.9,163
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",6.9,163
"Tuscaloosa, AL Metropolitan Statistical Area",6.9,163
"Altoona, PA Metropolitan Statistical Area",7,169
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",7,169
