"metropolitan_area","rate","rank"
"Portland-South Portland, ME Metropolitan NECTA",4.6,62
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",4.6,62
"Lawton, OK Metropolitan Statistical Area",4.7,69
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",4.7,69
"Boise City, ID Metropolitan Statistical Area",4.8,71
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",4.8,71
"Eau Claire, WI Metropolitan Statistical Area",4.8,71
"Houma-Thibodaux, LA Metropolitan Statistical Area",4.8,71
"Morgantown, WV Metropolitan Statistical Area",4.8,71
"Sherman-Denison, TX Metropolitan Statistical Area",4.8,71
"Topeka, KS Metropolitan Statistical Area",4.8,71
"Wichita Falls, TX Metropolitan Statistical Area",4.8,71
"Ann Arbor, MI Metropolitan Statistical Area",4.9,79
"Columbus, OH Metropolitan Statistical Area",4.9,79
"Fond du Lac, WI Metropolitan Statistical Area",4.9,79
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",4.9,79
"Lexington-Fayette, KY Metropolitan Statistical Area",4.9,79
"Longview, TX Metropolitan Statistical Area",4.9,79
"Staunton-Waynesboro, VA Metropolitan Statistical Area",4.9,79
"Asheville, NC Metropolitan Statistical Area",5,86
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",5,86
"Green Bay, WI Metropolitan Statistical Area",5,86
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",5,86
"Lebanon, PA Metropolitan Statistical Area",5,86
"Wausau, WI Metropolitan Statistical Area",5,86
"Winchester, VA-WV Metropolitan Statistical Area",5,86
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",5.1,93
"Corvallis, OR Metropolitan Statistical Area",5.1,93
"Durham-Chapel Hill, NC Metropolitan Statistical Area",5.1,93
"Elkhart-Goshen, IN Metropolitan Statistical Area",5.1,93
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",5.1,93
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",5.1,93
"Laredo, TX Metropolitan Statistical Area",5.1,93
"Raleigh, NC Metropolitan Statistical Area",5.1,93
"Springfield, MO Metropolitan Statistical Area",5.1,93
"Waco, TX Metropolitan Statistical Area",5.1,93
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",5.1,93
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",5.2,104
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",5.2,104
"Duluth, MN-WI Metropolitan Statistical Area",5.2,104
"Harrisonburg, VA Metropolitan Statistical Area",5.2,104
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",5.2,104
"Oshkosh-Neenah, WI Metropolitan Statistical Area",5.2,104
"Roanoke, VA Metropolitan Statistical Area",5.2,104
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",5.2,104
"Tyler, TX Metropolitan Statistical Area",5.2,104
"Wichita, KS Metropolitan Statistical Area",5.2,104
"Corpus Christi, TX Metropolitan Statistical Area",5.3,114
"Danbury, CT Metropolitan NECTA",5.3,114
"Evansville, IN-KY Metropolitan Statistical Area",5.3,114
"Gainesville, FL Metropolitan Statistical Area",5.3,114
"Jefferson City, MO Metropolitan Statistical Area",5.3,114
"Joplin, MO Metropolitan Statistical Area",5.3,114
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",5.3,114
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.3,114
"Bangor, ME Metropolitan NECTA",5.4,122
"California-Lexington Park, MD Metropolitan Statistical Area",5.4,122
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",5.4,122
"Lafayette, LA Metropolitan Statistical Area",5.4,122
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",5.4,122
"Santa Fe, NM Metropolitan Statistical Area",5.4,122
"York-Hanover, PA Metropolitan Statistical Area",5.4,122
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",5.5,129
"Charleston-North Charleston, SC Metropolitan Statistical Area",5.5,129
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",5.5,129
"Lewiston-Auburn, ME Metropolitan NECTA",5.5,129
"Reading, PA Metropolitan Statistical Area",5.5,129
"Richmond, VA Metropolitan Statistical Area",5.5,129
"St. Joseph, MO-KS Metropolitan Statistical Area",5.5,129
"Auburn-Opelika, AL Metropolitan Statistical Area",5.6,136
"Bloomington, IL Metropolitan Statistical Area",5.6,136
"Fort Wayne, IN Metropolitan Statistical Area",5.6,136
"Kansas City, MO-KS Metropolitan Statistical Area",5.6,136
"Lynchburg, VA Metropolitan Statistical Area",5.6,136
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",5.6,136
"Santa Rosa, CA Metropolitan Statistical Area",5.6,136
"Altoona, PA Metropolitan Statistical Area",5.7,143
"Burlington, NC Metropolitan Statistical Area",5.7,143
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",5.7,143
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",5.7,143
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",5.7,143
"Jonesboro, AR Metropolitan Statistical Area",5.7,143
"Kingston, NY Metropolitan Statistical Area",5.7,143
"Napa, CA Metropolitan Statistical Area",5.7,143
"Owensboro, KY Metropolitan Statistical Area",5.7,143
"Pittsburgh, PA Metropolitan Statistical Area",5.7,143
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",5.7,143
"Anchorage, AK Metropolitan Statistical Area",5.8,154
"Baton Rouge, LA Metropolitan Statistical Area",5.8,154
"Canton-Massillon, OH Metropolitan Statistical Area",5.8,154
"Coeur d'Alene, ID Metropolitan Statistical Area",5.8,154
"Columbia, SC Metropolitan Statistical Area",5.8,154
"Fairbanks, AK Metropolitan Statistical Area",5.8,154
"Killeen-Temple, TX Metropolitan Statistical Area",5.8,154
"Lima, OH Metropolitan Statistical Area",5.8,154
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",5.8,154
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",5.8,154
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",5.8,154
"Rochester, NY Metropolitan Statistical Area",5.8,154
"Springfield, OH Metropolitan Statistical Area",5.8,154
"Tallahassee, FL Metropolitan Statistical Area",5.8,154
"Akron, OH Metropolitan Statistical Area",5.9,168
"Bloomsburg-Berwick, PA Metropolitan Statistical Area",5.9,168
"Bowling Green, KY Metropolitan Statistical Area",5.9,168
"Cape Girardeau, MO-IL Metropolitan Statistical Area",5.9,168
"Dayton, OH Metropolitan Statistical Area",5.9,168
"Gainesville, GA Metropolitan Statistical Area",5.9,168
"Lake Charles, LA Metropolitan Statistical Area",5.9,168
"Lansing-East Lansing, MI Metropolitan Statistical Area",5.9,168
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",5.9,168
"Springfield, IL Metropolitan Statistical Area",5.9,168
"Trenton, NJ Metropolitan Statistical Area",5.9,168
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",6,179
"Birmingham-Hoover, AL Metropolitan Statistical Area",6,179
"Bloomington, IN Metropolitan Statistical Area",6,179
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",6,179
"Champaign-Urbana, IL Metropolitan Statistical Area",6,179
"Cleveland-Elyria, OH Metropolitan Statistical Area",6,179
"Colorado Springs, CO Metropolitan Statistical Area",6,179
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",6,179
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",6,179
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",6,179
"Tucson, AZ Metropolitan Statistical Area",6,179
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",6.1,190
"Bremerton-Silverdale, WA Metropolitan Statistical Area",6.1,190
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",6.1,190
"Fort Smith, AR-OK Metropolitan Statistical Area",6.1,190
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",6.1,190
"Jacksonville, NC Metropolitan Statistical Area",6.1,190
"Janesville-Beloit, WI Metropolitan Statistical Area",6.1,190
"Kalamazoo-Portage, MI Metropolitan Statistical Area",6.1,190
"Knoxville, TN Metropolitan Statistical Area",6.1,190
"Midland, MI Metropolitan Statistical Area",6.1,190
"Monroe, MI Metropolitan Statistical Area",6.1,190
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",6.1,190
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",6.1,190
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",6.1,190
"Syracuse, NY Metropolitan Statistical Area",6.1,190
"Toledo, OH Metropolitan Statistical Area",6.1,190
"Williamsport, PA Metropolitan Statistical Area",6.1,190
"Winston-Salem, NC Metropolitan Statistical Area",6.1,190
"Worcester, MA-CT Metropolitan NECTA",6.1,190
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",6.2,209
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",6.2,209
"Erie, PA Metropolitan Statistical Area",6.2,209
"Grand Junction, CO Metropolitan Statistical Area",6.2,209
"Huntsville, AL Metropolitan Statistical Area",6.2,209
"Jacksonville, FL Metropolitan Statistical Area",6.2,209
"Parkersburg-Vienna, WV Metropolitan Statistical Area",6.2,209
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",6.2,209
"Texarkana, TX-AR Metropolitan Statistical Area",6.2,209
"Utica-Rome, NY Metropolitan Statistical Area",6.2,209
"Walla Walla, WA Metropolitan Statistical Area",6.2,209
"Wilmington, NC Metropolitan Statistical Area",6.2,209
"Battle Creek, MI Metropolitan Statistical Area",6.3,221
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",6.3,221
"Charleston, WV Metropolitan Statistical Area",6.3,221
"Cleveland, TN Metropolitan Statistical Area",6.3,221
"Elmira, NY Metropolitan Statistical Area",6.3,221
"Glens Falls, NY Metropolitan Statistical Area",6.3,221
"Hot Springs, AR Metropolitan Statistical Area",6.3,221
"Jackson, MS Metropolitan Statistical Area",6.3,221
"Kokomo, IN Metropolitan Statistical Area",6.3,221
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",6.3,221
"Panama City, FL Metropolitan Statistical Area",6.3,221
"Prescott, AZ Metropolitan Statistical Area",6.3,221
"St. Louis, MO-IL Metropolitan Statistical Area(1)",6.3,221
"Tuscaloosa, AL Metropolitan Statistical Area",6.3,221
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",6.4,235
"Chattanooga, TN-GA Metropolitan Statistical Area",6.4,235
"Dover, DE Metropolitan Statistical Area",6.4,235
"El Paso, TX Metropolitan Statistical Area",6.4,235
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",6.4,235
"Farmington, NM Metropolitan Statistical Area",6.4,235
"Goldsboro, NC Metropolitan Statistical Area",6.4,235
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",6.4,235
"New Orleans-Metairie, LA Metropolitan Statistical Area",6.4,235
"San Diego-Carlsbad, CA Metropolitan Statistical Area",6.4,235
"Albuquerque, NM Metropolitan Statistical Area",6.5,245
"Athens-Clarke County, GA Metropolitan Statistical Area",6.5,245
"Binghamton, NY Metropolitan Statistical Area",6.5,245
"Greenville, NC Metropolitan Statistical Area",6.5,245
"Hattiesburg, MS Metropolitan Statistical Area",6.5,245
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",6.5,245
"Mansfield, OH Metropolitan Statistical Area",6.5,245
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",6.5,245
"Olympia-Tumwater, WA Metropolitan Statistical Area",6.5,245
"Spartanburg, SC Metropolitan Statistical Area",6.5,245
"Wenatchee, WA Metropolitan Statistical Area",6.5,245
"Bellingham, WA Metropolitan Statistical Area",6.6,256
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",6.6,256
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",6.6,256
"Montgomery, AL Metropolitan Statistical Area",6.6,256
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",6.6,256
"Racine, WI Metropolitan Statistical Area",6.6,256
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",6.6,256
"Wheeling, WV-OH Metropolitan Statistical Area",6.6,256
"Alexandria, LA Metropolitan Statistical Area",6.7,264
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",6.7,264
"Greensboro-High Point, NC Metropolitan Statistical Area",6.7,264
"Jackson, MI Metropolitan Statistical Area",6.7,264
"New Haven, CT Metropolitan NECTA",6.7,264
"Pittsfield, MA Metropolitan NECTA",6.7,264
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",6.7,264
"Carbondale-Marion, IL Metropolitan Statistical Area",6.8,271
"Dothan, AL Metropolitan Statistical Area",6.8,271
"Niles-Benton Harbor, MI Metropolitan Statistical Area",6.8,271
"Springfield, MA-CT Metropolitan NECTA",6.8,271
"Barnstable Town, MA Metropolitan NECTA",6.9,275
"Clarksville, TN-KY Metropolitan Statistical Area",6.9,275
"Decatur, AL Metropolitan Statistical Area",6.9,275
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",6.9,275
"Eugene, OR Metropolitan Statistical Area",6.9,275
"Jackson, TN Metropolitan Statistical Area",6.9,275
"Johnson City, TN Metropolitan Statistical Area",6.9,275
"Leominster-Gardner, MA Metropolitan NECTA",6.9,275
"New Bern, NC Metropolitan Statistical Area",6.9,275
"Punta Gorda, FL Metropolitan Statistical Area",6.9,275
"Gadsden, AL Metropolitan Statistical Area",7,285
"Johnstown, PA Metropolitan Statistical Area",7,285
"Muncie, IN Metropolitan Statistical Area",7,285
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",7,285
"Savannah, GA Metropolitan Statistical Area",7,285
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",7,285
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",7.1,291
"Flagstaff, AZ Metropolitan Statistical Area",7.1,291
"Monroe, LA Metropolitan Statistical Area",7.1,291
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",7.1,291
"Peoria, IL Metropolitan Statistical Area",7.1,291
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",7.1,291
"Shreveport-Bossier City, LA Metropolitan Statistical Area",7.1,291
"Bay City, MI Metropolitan Statistical Area",7.2,298
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",7.2,298
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",7.2,298
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",7.2,298
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",7.2,298
"Valdosta, GA Metropolitan Statistical Area",7.2,298
"Warner Robins, GA Metropolitan Statistical Area",7.2,298
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.3,305
"Las Cruces, NM Metropolitan Statistical Area",7.3,305
"Ocala, FL Metropolitan Statistical Area",7.3,305
"Port St. Lucie, FL Metropolitan Statistical Area",7.3,305
"Pueblo, CO Metropolitan Statistical Area",7.3,305
"Salem, OR Metropolitan Statistical Area",7.3,305
"Salisbury, MD-DE Metropolitan Statistical Area",7.3,305
"Sumter, SC Metropolitan Statistical Area",7.3,305
"Memphis, TN-MS-AR Metropolitan Statistical Area",7.4,313
"Morristown, TN Metropolitan Statistical Area",7.4,313
"East Stroudsburg, PA Metropolitan Statistical Area",7.5,315
"Florence, SC Metropolitan Statistical Area",7.5,315
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",7.5,315
"Providence-Warwick, RI-MA Metropolitan NECTA",7.5,315
"Saginaw, MI Metropolitan Statistical Area",7.5,315
"Terre Haute, IN Metropolitan Statistical Area",7.5,315
"Vallejo-Fairfield, CA Metropolitan Statistical Area",7.5,315
"Beckley, WV Metropolitan Statistical Area",7.6,322
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",7.6,322
"Hammond, LA Metropolitan Statistical Area",7.6,322
"Hinesville, GA Metropolitan Statistical Area",7.6,322
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",7.6,322
"Michigan City-La Porte, IN Metropolitan Statistical Area",7.6,322
"Reno, NV Metropolitan Statistical Area",7.6,322
"Watertown-Fort Drum, NY Metropolitan Statistical Area",7.6,322
"Bend-Redmond, OR Metropolitan Statistical Area",7.7,330
"Brunswick, GA Metropolitan Statistical Area",7.7,330
"Columbus, GA-AL Metropolitan Statistical Area",7.7,330
"Cumberland, MD-WV Metropolitan Statistical Area",7.7,330
"Kennewick-Richland, WA Metropolitan Statistical Area",7.7,330
"Macon-Bibb County, GA Metropolitan Statistical Area",7.7,330
"Mobile, AL Metropolitan Statistical Area",7.7,330
"Muskegon, MI Metropolitan Statistical Area",7.7,330
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",7.9,338
"Flint, MI Metropolitan Statistical Area",7.9,338
"Kankakee, IL Metropolitan Statistical Area",7.9,338
"Rome, GA Metropolitan Statistical Area",7.9,338
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",7.9,338
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",8,343
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",8,343
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",8,343
"Albany, OR Metropolitan Statistical Area",8.1,346
"Fayetteville, NC Metropolitan Statistical Area",8.1,346
"Longview, WA Metropolitan Statistical Area",8.1,346
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",8.1,346
"Dalton, GA Metropolitan Statistical Area",8.2,350
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",8.2,350
"Rockford, IL Metropolitan Statistical Area",8.2,350
"Albany, GA Metropolitan Statistical Area",8.3,353
"Brownsville-Harlingen, TX Metropolitan Statistical Area",8.3,353
"The Villages, FL Metropolitan Statistical Area",8.3,353
"Waterbury, CT Metropolitan NECTA",8.3,353
"Danville, IL Metropolitan Statistical Area",8.4,357
"Medford, OR Metropolitan Statistical Area",8.4,357
"Pine Bluff, AR Metropolitan Statistical Area",8.4,357
"Sebring, FL Metropolitan Statistical Area",8.4,357
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",8.4,357
"Decatur, IL Metropolitan Statistical Area",8.5,362
"Homosassa Springs, FL Metropolitan Statistical Area",8.5,362
"Chico, CA Metropolitan Statistical Area",8.6,364
"Carson City, NV Metropolitan Statistical Area",8.7,365
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",8.7,365
"New Bedford, MA Metropolitan NECTA",8.7,365
"Yakima, WA Metropolitan Statistical Area",8.7,365
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",8.8,369
"Rocky Mount, NC Metropolitan Statistical Area",8.8,369
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",8.8,369
"Salinas, CA Metropolitan Statistical Area",9,372
"Grants Pass, OR Metropolitan Statistical Area",9.4,373
"Redding, CA Metropolitan Statistical Area",9.6,374
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",9.9,375
"Bakersfield, CA Metropolitan Statistical Area",10.4,376
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",10.5,377
"Stockton-Lodi, CA Metropolitan Statistical Area",10.5,377
"Madera, CA Metropolitan Statistical Area",11.2,379
"Modesto, CA Metropolitan Statistical Area",11.2,379
"Fresno, CA Metropolitan Statistical Area",11.6,381
"Hanford-Corcoran, CA Metropolitan Statistical Area",11.9,382
"Yuba City, CA Metropolitan Statistical Area",12.1,383
"Ocean City, NJ Metropolitan Statistical Area",12.2,384
"Merced, CA Metropolitan Statistical Area",12.8,385
"Visalia-Porterville, CA Metropolitan Statistical Area",13.1,386
"Yuma, AZ Metropolitan Statistical Area",22.9,387
"El Centro, CA Metropolitan Statistical Area",24,388
"Ames, IA Metropolitan Statistical Area",2.5,1
"Fargo, ND-MN Metropolitan Statistical Area",2.5,1
"Bismarck, ND Metropolitan Statistical Area",2.6,3
"Sioux Falls, SD Metropolitan Statistical Area",2.6,3
"Iowa City, IA Metropolitan Statistical Area",2.7,5
"Lincoln, NE Metropolitan Statistical Area",2.7,5
"Mankato-North Mankato, MN Metropolitan Statistical Area",2.8,7
"Burlington-South Burlington, VT Metropolitan NECTA",2.9,8
"Grand Forks, ND-MN Metropolitan Statistical Area",3,9
"Portsmouth, NH-ME Metropolitan NECTA",3,9
"Amarillo, TX Metropolitan Statistical Area",3.1,11
"Logan, UT-ID Metropolitan Statistical Area",3.1,11
"Boulder, CO Metropolitan Statistical Area",3.2,13
"Dover-Durham, NH-ME Metropolitan NECTA",3.2,13
"Rapid City, SD Metropolitan Statistical Area",3.2,13
"Rochester, MN Metropolitan Statistical Area",3.2,13
"Billings, MT Metropolitan Statistical Area",3.3,17
"Fort Collins, CO Metropolitan Statistical Area",3.3,17
"Manchester, NH Metropolitan NECTA",3.3,17
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",3.3,17
"Provo-Orem, UT Metropolitan Statistical Area",3.3,17
"Urban Honolulu, HI Metropolitan Statistical Area",3.3,17
"Austin-Round Rock, TX Metropolitan Statistical Area",3.4,23
"Lubbock, TX Metropolitan Statistical Area",3.4,23
"Madison, WI Metropolitan Statistical Area",3.4,23
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.4,23
"Salt Lake City, UT Metropolitan Statistical Area",3.4,23
"College Station-Bryan, TX Metropolitan Statistical Area",3.5,28
"Columbia, MO Metropolitan Statistical Area",3.5,28
"Idaho Falls, ID Metropolitan Statistical Area",3.5,28
"Manhattan, KS Metropolitan Statistical Area",3.5,28
"Midland, TX Metropolitan Statistical Area",3.5,28
"Portland-South Portland, ME Metropolitan NECTA",3.5,28
"Columbus, IN Metropolitan Statistical Area",3.6,34
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",3.6,34
"Sioux City, IA-NE-SD Metropolitan Statistical Area",3.6,34
"Ann Arbor, MI Metropolitan Statistical Area",3.7,37
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",3.7,37
"Dubuque, IA Metropolitan Statistical Area",3.7,37
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",3.7,37
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",3.7,37
"Lawrence, KS Metropolitan Statistical Area",3.7,37
"Ogden-Clearfield, UT Metropolitan Statistical Area",3.7,37
"Abilene, TX Metropolitan Statistical Area",3.8,44
"Grand Island, NE Metropolitan Statistical Area",3.8,44
"Greeley, CO Metropolitan Statistical Area",3.8,44
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",3.8,44
"St. Cloud, MN Metropolitan Statistical Area",3.8,44
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.8,44
"Sheboygan, WI Metropolitan Statistical Area",3.8,44
"Appleton, WI Metropolitan Statistical Area",3.9,51
"Cedar Rapids, IA Metropolitan Statistical Area",3.9,51
"Charlottesville, VA Metropolitan Statistical Area",3.9,51
"Elkhart-Goshen, IN Metropolitan Statistical Area",3.9,51
"Enid, OK Metropolitan Statistical Area",3.9,51
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",3.9,51
"Missoula, MT Metropolitan Statistical Area",3.9,51
"Oklahoma City, OK Metropolitan Statistical Area",3.9,51
"Cheyenne, WY Metropolitan Statistical Area",4,59
"Great Falls, MT Metropolitan Statistical Area",4,59
"Lexington-Fayette, KY Metropolitan Statistical Area",4,59
"Pocatello, ID Metropolitan Statistical Area",4,59
"Sherman-Denison, TX Metropolitan Statistical Area",4,59
"State College, PA Metropolitan Statistical Area",4,59
"Wausau, WI Metropolitan Statistical Area",4,59
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",4.1,66
"Eau Claire, WI Metropolitan Statistical Area",4.1,66
"Fond du Lac, WI Metropolitan Statistical Area",4.1,66
"Lancaster, PA Metropolitan Statistical Area",4.1,66
"Lewiston, ID-WA Metropolitan Statistical Area",4.1,66
"St. George, UT Metropolitan Statistical Area",4.1,66
"San Angelo, TX Metropolitan Statistical Area",4.1,66
"Waco, TX Metropolitan Statistical Area",4.1,66
"Bangor, ME Metropolitan NECTA",4.2,74
"Boise City, ID Metropolitan Statistical Area",4.2,74
"Columbus, OH Metropolitan Statistical Area",4.2,74
"Corvallis, OR Metropolitan Statistical Area",4.2,74
"Gettysburg, PA Metropolitan Statistical Area",4.2,74
"Green Bay, WI Metropolitan Statistical Area",4.2,74
"Lewiston-Auburn, ME Metropolitan NECTA",4.2,74
"Oshkosh-Neenah, WI Metropolitan Statistical Area",4.2,74
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",4.2,74
"Topeka, KS Metropolitan Statistical Area",4.2,74
"Victoria, TX Metropolitan Statistical Area",4.2,74
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",4.3,85
"Evansville, IN-KY Metropolitan Statistical Area",4.3,85
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",4.3,85
"Jefferson City, MO Metropolitan Statistical Area",4.3,85
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",4.3,85
"Lawton, OK Metropolitan Statistical Area",4.3,85
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",4.3,85
"Staunton-Waynesboro, VA Metropolitan Statistical Area",4.3,85
"Wichita Falls, TX Metropolitan Statistical Area",4.3,85
"Winchester, VA-WV Metropolitan Statistical Area",4.3,85
"Ithaca, NY Metropolitan Statistical Area",4.4,95
"Joplin, MO Metropolitan Statistical Area",4.4,95
"Roanoke, VA Metropolitan Statistical Area",4.4,95
"Springfield, MO Metropolitan Statistical Area",4.4,95
"Tulsa, OK Metropolitan Statistical Area",4.4,95
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",4.4,95
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",4.4,95
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",4.5,102
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.5,102
"Fort Wayne, IN Metropolitan Statistical Area",4.5,102
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",4.5,102
"Lansing-East Lansing, MI Metropolitan Statistical Area",4.5,102
"Lebanon, PA Metropolitan Statistical Area",4.5,102
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",4.5,102
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",4.5,102
"St. Joseph, MO-KS Metropolitan Statistical Area",4.5,102
"Santa Rosa, CA Metropolitan Statistical Area",4.5,102
"Tyler, TX Metropolitan Statistical Area",4.5,102
"Asheville, NC Metropolitan Statistical Area",4.6,113
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",4.6,113
"Colorado Springs, CO Metropolitan Statistical Area",4.6,113
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",4.6,113
"Danbury, CT Metropolitan NECTA",4.6,113
"Harrisonburg, VA Metropolitan Statistical Area",4.6,113
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",4.6,113
"Jonesboro, AR Metropolitan Statistical Area",4.6,113
"Killeen-Temple, TX Metropolitan Statistical Area",4.6,113
"Monroe, MI Metropolitan Statistical Area",4.6,113
"Napa, CA Metropolitan Statistical Area",4.6,113
"Odessa, TX Metropolitan Statistical Area",4.6,113
"Richmond, VA Metropolitan Statistical Area",4.6,113
"Wichita, KS Metropolitan Statistical Area",4.6,113
"Cape Girardeau, MO-IL Metropolitan Statistical Area",4.7,127
