"metropolitan_area","rate","rank","year"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",7.1,44,"lg_2"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",7.1,44,"lg_2"
"Memphis, TN-MS-AR Metropolitan Statistical Area",7.4,46,"lg_2"
"Providence-Warwick, RI-MA Metropolitan NECTA",7.5,47,"lg_2"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",7.6,48,"lg_2"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",8,49,"lg_2"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",8.1,50,"lg_2"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",8.2,51,"lg_2"
"Austin-Round Rock, TX Metropolitan Statistical Area",3.4,1,"lg_2"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.4,1,"lg_2"
"Salt Lake City, UT Metropolitan Statistical Area",3.4,1,"lg_2"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",3.7,4,"lg_2"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.8,5,"lg_2"
"Oklahoma City, OK Metropolitan Statistical Area",3.9,6,"lg_2"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",4.1,7,"lg_2"
"Columbus, OH Metropolitan Statistical Area",4.2,8,"lg_2"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",4.2,8,"lg_2"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",4.3,10,"lg_2"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",4.3,10,"lg_2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",4.4,12,"lg_2"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.5,13,"lg_2"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",4.5,13,"lg_2"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",4.5,13,"lg_2"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",4.6,16,"lg_2"
"Richmond, VA Metropolitan Statistical Area",4.6,16,"lg_2"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",4.7,18,"lg_2"
"Kansas City, MO-KS Metropolitan Statistical Area",4.8,19,"lg_2"
"Raleigh, NC Metropolitan Statistical Area",4.8,19,"lg_2"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",4.8,19,"lg_2"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",4.9,22,"lg_2"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",4.9,22,"lg_2"
"Cleveland-Elyria, OH Metropolitan Statistical Area",5,24,"lg_2"
"Rochester, NY Metropolitan Statistical Area",5.1,25,"lg_2"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",5.1,25,"lg_2"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",5.2,27,"lg_2"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",5.2,27,"lg_2"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",5.2,27,"lg_2"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",5.2,27,"lg_2"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",5.2,27,"lg_2"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",5.3,32,"lg_2"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",5.3,32,"lg_2"
"Pittsburgh, PA Metropolitan Statistical Area",5.3,32,"lg_2"
"Jacksonville, FL Metropolitan Statistical Area",5.4,35,"lg_2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",5.4,35,"lg_2"
"Birmingham-Hoover, AL Metropolitan Statistical Area",5.5,37,"lg_2"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",5.5,37,"lg_2"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",5.5,37,"lg_2"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",5.5,37,"lg_2"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",5.7,41,"lg_2"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",5.7,41,"lg_2"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",5.9,43,"lg_2"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",5.9,43,"lg_2"
"Providence-Warwick, RI-MA Metropolitan NECTA",5.9,43,"lg_2"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",5.9,43,"lg_2"
"New Orleans-Metairie, LA Metropolitan Statistical Area",6,47,"lg_2"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",6.1,48,"lg_2"
"Memphis, TN-MS-AR Metropolitan Statistical Area",6.3,49,"lg_2"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",6.6,50,"lg_2"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",6.8,51,"lg_2"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",3.1,1,"lg_2"
"Salt Lake City, UT Metropolitan Statistical Area",3.2,2,"lg_2"
"Austin-Round Rock, TX Metropolitan Statistical Area",3.3,3,"lg_2"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",3.5,4,"lg_2"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.5,4,"lg_2"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",3.7,6,"lg_2"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.8,7,"lg_2"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",3.8,7,"lg_2"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.9,9,"lg_2"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",3.9,9,"lg_2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3.9,9,"lg_2"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",4.1,12,"lg_2"
"Columbus, OH Metropolitan Statistical Area",4.2,13,"lg_2"
"Oklahoma City, OK Metropolitan Statistical Area",4.2,13,"lg_2"
"Richmond, VA Metropolitan Statistical Area",4.2,13,"lg_2"
"Kansas City, MO-KS Metropolitan Statistical Area",4.3,16,"lg_2"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",4.3,16,"lg_2"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",4.3,16,"lg_2"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.4,19,"lg_2"
"Raleigh, NC Metropolitan Statistical Area",4.4,19,"lg_2"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",4.4,19,"lg_2"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",4.5,22,"lg_2"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",4.6,23,"lg_2"
"Jacksonville, FL Metropolitan Statistical Area",4.6,23,"lg_2"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",4.6,23,"lg_2"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",4.6,23,"lg_2"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",4.6,23,"lg_2"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",4.6,23,"lg_2"
"Rochester, NY Metropolitan Statistical Area",4.7,29,"lg_2"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",4.7,29,"lg_2"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",4.7,29,"lg_2"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",4.8,32,"lg_2"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",4.8,32,"lg_2"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",4.9,34,"lg_2"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",5,35,"lg_2"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",5.1,36,"lg_2"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",5.1,36,"lg_2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",5.1,36,"lg_2"
"Providence-Warwick, RI-MA Metropolitan NECTA",5.1,36,"lg_2"
