"city","rate","rank","year"
"Long Beach city, CA",10.6,48,"2013"
"Fresno city, CA",14.3,49,"2013"
"Detroit city, MI",18.9,50,"2013"
"Omaha city, NE",3.5,1,"2014"
"Austin city, TX",3.7,2,"2014"
"Minneapolis city, MN",3.8,3,"2014"
"Oklahoma City city, OK",3.9,4,"2014"
"Honolulu County/city, HI",4.1,5,"2014"
"Seattle city, WA",4.2,6,"2014"
"Tulsa city, OK",4.2,6,"2014"
"San Francisco County/city, CA",4.4,8,"2014"
"San Antonio city, TX",4.5,9,"2014"
"Raleigh city, NC",4.7,10,"2014"
"Denver County/city, CO",4.8,11,"2014"
"Houston city, TX",4.8,11,"2014"
"Columbus city, OH",4.9,13,"2014"
"Fort Worth city, TX",4.9,13,"2014"
"Virginia Beach city, VA",4.9,13,"2014"
"Nashville-Davidson (consolidated) city, TN",5,16,"2014"
"Boston city, MA",5.2,17,"2014"
"Charlotte city, NC",5.2,17,"2014"
"Dallas city, TX",5.3,19,"2014"
"Wichita city, KS",5.6,20,"2014"
"Portland city, OR",5.7,21,"2014"
"Mesa city, AZ",5.8,22,"2014"
"San Jose city, CA",5.8,22,"2014"
"Colorado Springs city, CO",5.9,24,"2014"
"El Paso city, TX",5.9,24,"2014"
"Louisville-Jefferson County (consolidated) city, KY",6,26,"2014"
"Phoenix city, AZ",6.1,27,"2014"
"San Diego city, CA",6.1,27,"2014"
"Albuquerque city, NM",6.2,29,"2014"
"Tucson city, AZ",6.4,30,"2014"
"Indianapolis (consolidated) city, IN",6.5,31,"2014"
"Jacksonville city, FL",6.6,32,"2014"
"Kansas City city, MO",6.9,33,"2014"
"Miami city, FL",6.9,33,"2014"
"New York city, NY",7.2,35,"2014"
"Oakland city, CA",7.2,35,"2014"
"Atlanta city, GA",7.7,37,"2014"
"Sacramento city, CA",7.7,37,"2014"
"Chicago city, IL",7.8,39,"2014"
"Cleveland city, OH",7.8,39,"2014"
"Washington city, DC",7.8,39,"2014"
"Milwaukee city, WI",7.9,42,"2014"
"Philadelphia County/city, PA",8.1,43,"2014"
"Las Vegas city, NV",8.2,44,"2014"
"Memphis city, TN",8.4,45,"2014"
"Baltimore city, MD",8.5,46,"2014"
"Los Angeles city, CA",8.7,47,"2014"
"Long Beach city, CA",9,48,"2014"
"Fresno city, CA",12.5,49,"2014"
"Detroit city, MI",16.1,50,"2014"
"Austin city, TX",3,1,"2015"
"Omaha city, NE",3.2,2,"2015"
"Honolulu County/city, HI",3.3,3,"2015"
"Minneapolis city, MN",3.4,4,"2015"
"San Francisco County/city, CA",3.6,5,"2015"
"Denver County/city, CO",3.7,6,"2015"
"Oklahoma City city, OK",3.7,6,"2015"
"San Antonio city, TX",3.7,6,"2015"
"Seattle city, WA",3.9,9,"2015"
"Tulsa city, OK",4,10,"2015"
"Columbus city, OH",4.1,11,"2015"
"Dallas city, TX",4.1,11,"2015"
"Fort Worth city, TX",4.1,11,"2015"
"Houston city, TX",4.3,14,"2015"
"Virginia Beach city, VA",4.3,14,"2015"
"Boston city, MA",4.4,16,"2015"
"Nashville-Davidson (consolidated) city, TN",4.4,16,"2015"
"Colorado Springs city, CO",4.5,18,"2015"
"Raleigh city, NC",4.6,19,"2015"
"El Paso city, TX",4.7,20,"2015"
"Portland city, OR",4.7,20,"2015"
"San Jose city, CA",4.7,20,"2015"
