"metropolitan_area","rate","rank","year"
"Yuma, AZ Metropolitan Statistical Area",25.5,388,"2013"
"Footnotes",NA,NA,"2013"
"(1) Area boundaries do not reflect official OMB definitions.",NA,NA,"2013"
"Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Areas in the six New England states are Metropolitan New England City and Town Areas (NECTAs), while areas in other states are county-based. ",NA,NA,"2013"
"Bismarck, ND Metropolitan Statistical Area",2.7,1,"2014"
"Fargo, ND-MN Metropolitan Statistical Area",2.7,1,"2014"
"Ames, IA Metropolitan Statistical Area",2.9,3,"2014"
"Midland, TX Metropolitan Statistical Area",2.9,3,"2014"
"Sioux Falls, SD Metropolitan Statistical Area",2.9,3,"2014"
"Lincoln, NE Metropolitan Statistical Area",3,6,"2014"
"Iowa City, IA Metropolitan Statistical Area",3.1,7,"2014"
"Burlington-South Burlington, VT Metropolitan NECTA",3.2,8,"2014"
"Logan, UT-ID Metropolitan Statistical Area",3.2,8,"2014"
"Mankato-North Mankato, MN Metropolitan Statistical Area",3.3,10,"2014"
"Grand Forks, ND-MN Metropolitan Statistical Area",3.4,11,"2014"
"Odessa, TX Metropolitan Statistical Area",3.4,11,"2014"
"Provo-Orem, UT Metropolitan Statistical Area",3.5,13,"2014"
"Rapid City, SD Metropolitan Statistical Area",3.5,13,"2014"
"Enid, OK Metropolitan Statistical Area",3.6,15,"2014"
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",3.6,15,"2014"
"Amarillo, TX Metropolitan Statistical Area",3.7,17,"2014"
"Billings, MT Metropolitan Statistical Area",3.7,17,"2014"
"Manhattan, KS Metropolitan Statistical Area",3.7,17,"2014"
"Rochester, MN Metropolitan Statistical Area",3.7,17,"2014"
"Salt Lake City, UT Metropolitan Statistical Area",3.7,17,"2014"
"Grand Island, NE Metropolitan Statistical Area",3.8,22,"2014"
"Madison, WI Metropolitan Statistical Area",3.9,23,"2014"
"Ogden-Clearfield, UT Metropolitan Statistical Area",3.9,23,"2014"
"Portsmouth, NH-ME Metropolitan NECTA",3.9,23,"2014"
"Casper, WY Metropolitan Statistical Area",4,26,"2014"
"Lubbock, TX Metropolitan Statistical Area",4,26,"2014"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",4,26,"2014"
"Oklahoma City, OK Metropolitan Statistical Area",4,26,"2014"
"San Angelo, TX Metropolitan Statistical Area",4,26,"2014"
"Boulder, CO Metropolitan Statistical Area",4.1,31,"2014"
"College Station-Bryan, TX Metropolitan Statistical Area",4.1,31,"2014"
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",4.1,31,"2014"
"Dover-Durham, NH-ME Metropolitan NECTA",4.1,31,"2014"
"Dubuque, IA Metropolitan Statistical Area",4.1,31,"2014"
"Lawrence, KS Metropolitan Statistical Area",4.1,31,"2014"
"Sioux City, IA-NE-SD Metropolitan Statistical Area",4.1,31,"2014"
"Urban Honolulu, HI Metropolitan Statistical Area",4.1,31,"2014"
"Austin-Round Rock, TX Metropolitan Statistical Area",4.2,39,"2014"
"Columbia, MO Metropolitan Statistical Area",4.2,39,"2014"
"Idaho Falls, ID Metropolitan Statistical Area",4.2,39,"2014"
"Manchester, NH Metropolitan NECTA",4.2,39,"2014"
"Victoria, TX Metropolitan Statistical Area",4.2,39,"2014"
"Abilene, TX Metropolitan Statistical Area",4.3,44,"2014"
"Cheyenne, WY Metropolitan Statistical Area",4.3,44,"2014"
"Fort Collins, CO Metropolitan Statistical Area",4.3,44,"2014"
"Great Falls, MT Metropolitan Statistical Area",4.3,44,"2014"
"St. Cloud, MN Metropolitan Statistical Area",4.3,44,"2014"
"State College, PA Metropolitan Statistical Area",4.3,44,"2014"
"Cedar Rapids, IA Metropolitan Statistical Area",4.4,50,"2014"
"Columbus, IN Metropolitan Statistical Area",4.4,50,"2014"
"Ithaca, NY Metropolitan Statistical Area",4.4,50,"2014"
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",4.4,50,"2014"
"Missoula, MT Metropolitan Statistical Area",4.4,50,"2014"
"St. George, UT Metropolitan Statistical Area",4.4,50,"2014"
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",4.5,56,"2014"
"Greeley, CO Metropolitan Statistical Area",4.5,56,"2014"
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",4.5,56,"2014"
"Lewiston, ID-WA Metropolitan Statistical Area",4.5,56,"2014"
"Sheboygan, WI Metropolitan Statistical Area",4.5,56,"2014"
"Tulsa, OK Metropolitan Statistical Area",4.5,56,"2014"
"Appleton, WI Metropolitan Statistical Area",4.6,62,"2014"
"Charlottesville, VA Metropolitan Statistical Area",4.6,62,"2014"
"Gettysburg, PA Metropolitan Statistical Area",4.6,62,"2014"
"Lancaster, PA Metropolitan Statistical Area",4.6,62,"2014"
"Pocatello, ID Metropolitan Statistical Area",4.6,62,"2014"
"Portland-South Portland, ME Metropolitan NECTA",4.6,62,"2014"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",4.6,62,"2014"
"Lawton, OK Metropolitan Statistical Area",4.7,69,"2014"
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",4.7,69,"2014"
"Boise City, ID Metropolitan Statistical Area",4.8,71,"2014"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",4.8,71,"2014"
"Eau Claire, WI Metropolitan Statistical Area",4.8,71,"2014"
"Houma-Thibodaux, LA Metropolitan Statistical Area",4.8,71,"2014"
"Morgantown, WV Metropolitan Statistical Area",4.8,71,"2014"
"Sherman-Denison, TX Metropolitan Statistical Area",4.8,71,"2014"
"Topeka, KS Metropolitan Statistical Area",4.8,71,"2014"
"Wichita Falls, TX Metropolitan Statistical Area",4.8,71,"2014"
"Ann Arbor, MI Metropolitan Statistical Area",4.9,79,"2014"
"Columbus, OH Metropolitan Statistical Area",4.9,79,"2014"
"Fond du Lac, WI Metropolitan Statistical Area",4.9,79,"2014"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",4.9,79,"2014"
"Lexington-Fayette, KY Metropolitan Statistical Area",4.9,79,"2014"
"Longview, TX Metropolitan Statistical Area",4.9,79,"2014"
"Staunton-Waynesboro, VA Metropolitan Statistical Area",4.9,79,"2014"
"Asheville, NC Metropolitan Statistical Area",5,86,"2014"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",5,86,"2014"
"Green Bay, WI Metropolitan Statistical Area",5,86,"2014"
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",5,86,"2014"
"Lebanon, PA Metropolitan Statistical Area",5,86,"2014"
"Wausau, WI Metropolitan Statistical Area",5,86,"2014"
"Winchester, VA-WV Metropolitan Statistical Area",5,86,"2014"
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",5.1,93,"2014"
"Corvallis, OR Metropolitan Statistical Area",5.1,93,"2014"
"Durham-Chapel Hill, NC Metropolitan Statistical Area",5.1,93,"2014"
"Elkhart-Goshen, IN Metropolitan Statistical Area",5.1,93,"2014"
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",5.1,93,"2014"
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",5.1,93,"2014"
"Laredo, TX Metropolitan Statistical Area",5.1,93,"2014"
"Raleigh, NC Metropolitan Statistical Area",5.1,93,"2014"
"Springfield, MO Metropolitan Statistical Area",5.1,93,"2014"
"Waco, TX Metropolitan Statistical Area",5.1,93,"2014"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",5.1,93,"2014"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",5.2,104,"2014"
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",5.2,104,"2014"
"Duluth, MN-WI Metropolitan Statistical Area",5.2,104,"2014"
"Harrisonburg, VA Metropolitan Statistical Area",5.2,104,"2014"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",5.2,104,"2014"
"Oshkosh-Neenah, WI Metropolitan Statistical Area",5.2,104,"2014"
"Roanoke, VA Metropolitan Statistical Area",5.2,104,"2014"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",5.2,104,"2014"
"Tyler, TX Metropolitan Statistical Area",5.2,104,"2014"
"Wichita, KS Metropolitan Statistical Area",5.2,104,"2014"
"Corpus Christi, TX Metropolitan Statistical Area",5.3,114,"2014"
"Danbury, CT Metropolitan NECTA",5.3,114,"2014"
"Evansville, IN-KY Metropolitan Statistical Area",5.3,114,"2014"
"Gainesville, FL Metropolitan Statistical Area",5.3,114,"2014"
"Jefferson City, MO Metropolitan Statistical Area",5.3,114,"2014"
"Joplin, MO Metropolitan Statistical Area",5.3,114,"2014"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",5.3,114,"2014"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.3,114,"2014"
"Bangor, ME Metropolitan NECTA",5.4,122,"2014"
"California-Lexington Park, MD Metropolitan Statistical Area",5.4,122,"2014"
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",5.4,122,"2014"
"Lafayette, LA Metropolitan Statistical Area",5.4,122,"2014"
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",5.4,122,"2014"
"Santa Fe, NM Metropolitan Statistical Area",5.4,122,"2014"
"York-Hanover, PA Metropolitan Statistical Area",5.4,122,"2014"
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",5.5,129,"2014"
"Charleston-North Charleston, SC Metropolitan Statistical Area",5.5,129,"2014"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",5.5,129,"2014"
"Lewiston-Auburn, ME Metropolitan NECTA",5.5,129,"2014"
"Reading, PA Metropolitan Statistical Area",5.5,129,"2014"
"Richmond, VA Metropolitan Statistical Area",5.5,129,"2014"
"St. Joseph, MO-KS Metropolitan Statistical Area",5.5,129,"2014"
"Auburn-Opelika, AL Metropolitan Statistical Area",5.6,136,"2014"
"Bloomington, IL Metropolitan Statistical Area",5.6,136,"2014"
"Fort Wayne, IN Metropolitan Statistical Area",5.6,136,"2014"
"Kansas City, MO-KS Metropolitan Statistical Area",5.6,136,"2014"
"Lynchburg, VA Metropolitan Statistical Area",5.6,136,"2014"
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",5.6,136,"2014"
"Santa Rosa, CA Metropolitan Statistical Area",5.6,136,"2014"
"Altoona, PA Metropolitan Statistical Area",5.7,143,"2014"
"Burlington, NC Metropolitan Statistical Area",5.7,143,"2014"
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",5.7,143,"2014"
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",5.7,143,"2014"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",5.7,143,"2014"
"Jonesboro, AR Metropolitan Statistical Area",5.7,143,"2014"
"Kingston, NY Metropolitan Statistical Area",5.7,143,"2014"
"Napa, CA Metropolitan Statistical Area",5.7,143,"2014"
"Owensboro, KY Metropolitan Statistical Area",5.7,143,"2014"
"Pittsburgh, PA Metropolitan Statistical Area",5.7,143,"2014"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",5.7,143,"2014"
"Anchorage, AK Metropolitan Statistical Area",5.8,154,"2014"
"Baton Rouge, LA Metropolitan Statistical Area",5.8,154,"2014"
"Canton-Massillon, OH Metropolitan Statistical Area",5.8,154,"2014"
"Coeur d'Alene, ID Metropolitan Statistical Area",5.8,154,"2014"
"Columbia, SC Metropolitan Statistical Area",5.8,154,"2014"
"Fairbanks, AK Metropolitan Statistical Area",5.8,154,"2014"
"Killeen-Temple, TX Metropolitan Statistical Area",5.8,154,"2014"
"Lima, OH Metropolitan Statistical Area",5.8,154,"2014"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",5.8,154,"2014"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",5.8,154,"2014"
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",5.8,154,"2014"
"Rochester, NY Metropolitan Statistical Area",5.8,154,"2014"
"Springfield, OH Metropolitan Statistical Area",5.8,154,"2014"
"Tallahassee, FL Metropolitan Statistical Area",5.8,154,"2014"
"Akron, OH Metropolitan Statistical Area",5.9,168,"2014"
"Bloomsburg-Berwick, PA Metropolitan Statistical Area",5.9,168,"2014"
"Bowling Green, KY Metropolitan Statistical Area",5.9,168,"2014"
"Cape Girardeau, MO-IL Metropolitan Statistical Area",5.9,168,"2014"
"Dayton, OH Metropolitan Statistical Area",5.9,168,"2014"
"Gainesville, GA Metropolitan Statistical Area",5.9,168,"2014"
"Lake Charles, LA Metropolitan Statistical Area",5.9,168,"2014"
"Lansing-East Lansing, MI Metropolitan Statistical Area",5.9,168,"2014"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",5.9,168,"2014"
"Springfield, IL Metropolitan Statistical Area",5.9,168,"2014"
"Trenton, NJ Metropolitan Statistical Area",5.9,168,"2014"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",6,179,"2014"
"Birmingham-Hoover, AL Metropolitan Statistical Area",6,179,"2014"
"Bloomington, IN Metropolitan Statistical Area",6,179,"2014"
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",6,179,"2014"
"Champaign-Urbana, IL Metropolitan Statistical Area",6,179,"2014"
"Cleveland-Elyria, OH Metropolitan Statistical Area",6,179,"2014"
"Colorado Springs, CO Metropolitan Statistical Area",6,179,"2014"
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",6,179,"2014"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",6,179,"2014"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",6,179,"2014"
"Tucson, AZ Metropolitan Statistical Area",6,179,"2014"
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",6.1,190,"2014"
"Bremerton-Silverdale, WA Metropolitan Statistical Area",6.1,190,"2014"
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",6.1,190,"2014"
"Fort Smith, AR-OK Metropolitan Statistical Area",6.1,190,"2014"
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",6.1,190,"2014"
"Jacksonville, NC Metropolitan Statistical Area",6.1,190,"2014"
"Janesville-Beloit, WI Metropolitan Statistical Area",6.1,190,"2014"
"Kalamazoo-Portage, MI Metropolitan Statistical Area",6.1,190,"2014"
"Knoxville, TN Metropolitan Statistical Area",6.1,190,"2014"
"Midland, MI Metropolitan Statistical Area",6.1,190,"2014"
"Monroe, MI Metropolitan Statistical Area",6.1,190,"2014"
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",6.1,190,"2014"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",6.1,190,"2014"
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",6.1,190,"2014"
"Syracuse, NY Metropolitan Statistical Area",6.1,190,"2014"
"Toledo, OH Metropolitan Statistical Area",6.1,190,"2014"
"Williamsport, PA Metropolitan Statistical Area",6.1,190,"2014"
"Winston-Salem, NC Metropolitan Statistical Area",6.1,190,"2014"
"Worcester, MA-CT Metropolitan NECTA",6.1,190,"2014"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",6.2,209,"2014"
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",6.2,209,"2014"
"Erie, PA Metropolitan Statistical Area",6.2,209,"2014"
"Grand Junction, CO Metropolitan Statistical Area",6.2,209,"2014"
"Huntsville, AL Metropolitan Statistical Area",6.2,209,"2014"
"Jacksonville, FL Metropolitan Statistical Area",6.2,209,"2014"
"Parkersburg-Vienna, WV Metropolitan Statistical Area",6.2,209,"2014"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",6.2,209,"2014"
"Texarkana, TX-AR Metropolitan Statistical Area",6.2,209,"2014"
"Utica-Rome, NY Metropolitan Statistical Area",6.2,209,"2014"
"Walla Walla, WA Metropolitan Statistical Area",6.2,209,"2014"
"Wilmington, NC Metropolitan Statistical Area",6.2,209,"2014"
"Battle Creek, MI Metropolitan Statistical Area",6.3,221,"2014"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",6.3,221,"2014"
"Charleston, WV Metropolitan Statistical Area",6.3,221,"2014"
"Cleveland, TN Metropolitan Statistical Area",6.3,221,"2014"
"Elmira, NY Metropolitan Statistical Area",6.3,221,"2014"
"Glens Falls, NY Metropolitan Statistical Area",6.3,221,"2014"
"Hot Springs, AR Metropolitan Statistical Area",6.3,221,"2014"
"Jackson, MS Metropolitan Statistical Area",6.3,221,"2014"
"Kokomo, IN Metropolitan Statistical Area",6.3,221,"2014"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",6.3,221,"2014"
"Panama City, FL Metropolitan Statistical Area",6.3,221,"2014"
"Prescott, AZ Metropolitan Statistical Area",6.3,221,"2014"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",6.3,221,"2014"
"Tuscaloosa, AL Metropolitan Statistical Area",6.3,221,"2014"
"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",6.4,235,"2014"
"Chattanooga, TN-GA Metropolitan Statistical Area",6.4,235,"2014"
"Dover, DE Metropolitan Statistical Area",6.4,235,"2014"
"El Paso, TX Metropolitan Statistical Area",6.4,235,"2014"
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",6.4,235,"2014"
"Farmington, NM Metropolitan Statistical Area",6.4,235,"2014"
"Goldsboro, NC Metropolitan Statistical Area",6.4,235,"2014"
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",6.4,235,"2014"
"New Orleans-Metairie, LA Metropolitan Statistical Area",6.4,235,"2014"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",6.4,235,"2014"
"Albuquerque, NM Metropolitan Statistical Area",6.5,245,"2014"
"Athens-Clarke County, GA Metropolitan Statistical Area",6.5,245,"2014"
"Binghamton, NY Metropolitan Statistical Area",6.5,245,"2014"
"Greenville, NC Metropolitan Statistical Area",6.5,245,"2014"
"Hattiesburg, MS Metropolitan Statistical Area",6.5,245,"2014"
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",6.5,245,"2014"
"Mansfield, OH Metropolitan Statistical Area",6.5,245,"2014"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",6.5,245,"2014"
"Olympia-Tumwater, WA Metropolitan Statistical Area",6.5,245,"2014"
"Spartanburg, SC Metropolitan Statistical Area",6.5,245,"2014"
"Wenatchee, WA Metropolitan Statistical Area",6.5,245,"2014"
"Bellingham, WA Metropolitan Statistical Area",6.6,256,"2014"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",6.6,256,"2014"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",6.6,256,"2014"
"Montgomery, AL Metropolitan Statistical Area",6.6,256,"2014"
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",6.6,256,"2014"
"Racine, WI Metropolitan Statistical Area",6.6,256,"2014"
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",6.6,256,"2014"
"Wheeling, WV-OH Metropolitan Statistical Area",6.6,256,"2014"
"Alexandria, LA Metropolitan Statistical Area",6.7,264,"2014"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",6.7,264,"2014"
"Greensboro-High Point, NC Metropolitan Statistical Area",6.7,264,"2014"
"Jackson, MI Metropolitan Statistical Area",6.7,264,"2014"
"New Haven, CT Metropolitan NECTA",6.7,264,"2014"
"Pittsfield, MA Metropolitan NECTA",6.7,264,"2014"
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",6.7,264,"2014"
"Carbondale-Marion, IL Metropolitan Statistical Area",6.8,271,"2014"
"Dothan, AL Metropolitan Statistical Area",6.8,271,"2014"
"Niles-Benton Harbor, MI Metropolitan Statistical Area",6.8,271,"2014"
"Springfield, MA-CT Metropolitan NECTA",6.8,271,"2014"
"Barnstable Town, MA Metropolitan NECTA",6.9,275,"2014"
"Clarksville, TN-KY Metropolitan Statistical Area",6.9,275,"2014"
"Decatur, AL Metropolitan Statistical Area",6.9,275,"2014"
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",6.9,275,"2014"
"Eugene, OR Metropolitan Statistical Area",6.9,275,"2014"
"Jackson, TN Metropolitan Statistical Area",6.9,275,"2014"
"Johnson City, TN Metropolitan Statistical Area",6.9,275,"2014"
"Leominster-Gardner, MA Metropolitan NECTA",6.9,275,"2014"
"New Bern, NC Metropolitan Statistical Area",6.9,275,"2014"
"Punta Gorda, FL Metropolitan Statistical Area",6.9,275,"2014"
"Gadsden, AL Metropolitan Statistical Area",7,285,"2014"
"Johnstown, PA Metropolitan Statistical Area",7,285,"2014"
"Muncie, IN Metropolitan Statistical Area",7,285,"2014"
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",7,285,"2014"
"Savannah, GA Metropolitan Statistical Area",7,285,"2014"
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",7,285,"2014"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",7.1,291,"2014"
"Flagstaff, AZ Metropolitan Statistical Area",7.1,291,"2014"
"Monroe, LA Metropolitan Statistical Area",7.1,291,"2014"
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",7.1,291,"2014"
"Peoria, IL Metropolitan Statistical Area",7.1,291,"2014"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",7.1,291,"2014"
"Shreveport-Bossier City, LA Metropolitan Statistical Area",7.1,291,"2014"
"Bay City, MI Metropolitan Statistical Area",7.2,298,"2014"
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",7.2,298,"2014"
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",7.2,298,"2014"
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",7.2,298,"2014"
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",7.2,298,"2014"
"Valdosta, GA Metropolitan Statistical Area",7.2,298,"2014"
"Warner Robins, GA Metropolitan Statistical Area",7.2,298,"2014"
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.3,305,"2014"
"Las Cruces, NM Metropolitan Statistical Area",7.3,305,"2014"
"Ocala, FL Metropolitan Statistical Area",7.3,305,"2014"
"Port St. Lucie, FL Metropolitan Statistical Area",7.3,305,"2014"
"Pueblo, CO Metropolitan Statistical Area",7.3,305,"2014"
"Salem, OR Metropolitan Statistical Area",7.3,305,"2014"
"Salisbury, MD-DE Metropolitan Statistical Area",7.3,305,"2014"
"Sumter, SC Metropolitan Statistical Area",7.3,305,"2014"
"Memphis, TN-MS-AR Metropolitan Statistical Area",7.4,313,"2014"
"Morristown, TN Metropolitan Statistical Area",7.4,313,"2014"
"East Stroudsburg, PA Metropolitan Statistical Area",7.5,315,"2014"
"Florence, SC Metropolitan Statistical Area",7.5,315,"2014"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",7.5,315,"2014"
"Providence-Warwick, RI-MA Metropolitan NECTA",7.5,315,"2014"
"Saginaw, MI Metropolitan Statistical Area",7.5,315,"2014"
"Terre Haute, IN Metropolitan Statistical Area",7.5,315,"2014"
"Vallejo-Fairfield, CA Metropolitan Statistical Area",7.5,315,"2014"
"Beckley, WV Metropolitan Statistical Area",7.6,322,"2014"
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",7.6,322,"2014"
"Hammond, LA Metropolitan Statistical Area",7.6,322,"2014"
"Hinesville, GA Metropolitan Statistical Area",7.6,322,"2014"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",7.6,322,"2014"
"Michigan City-La Porte, IN Metropolitan Statistical Area",7.6,322,"2014"
"Reno, NV Metropolitan Statistical Area",7.6,322,"2014"
"Watertown-Fort Drum, NY Metropolitan Statistical Area",7.6,322,"2014"
"Bend-Redmond, OR Metropolitan Statistical Area",7.7,330,"2014"
"Brunswick, GA Metropolitan Statistical Area",7.7,330,"2014"
"Columbus, GA-AL Metropolitan Statistical Area",7.7,330,"2014"
"Cumberland, MD-WV Metropolitan Statistical Area",7.7,330,"2014"
"Kennewick-Richland, WA Metropolitan Statistical Area",7.7,330,"2014"
"Macon-Bibb County, GA Metropolitan Statistical Area",7.7,330,"2014"
"Mobile, AL Metropolitan Statistical Area",7.7,330,"2014"
"Muskegon, MI Metropolitan Statistical Area",7.7,330,"2014"
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",7.9,338,"2014"
"Flint, MI Metropolitan Statistical Area",7.9,338,"2014"
"Kankakee, IL Metropolitan Statistical Area",7.9,338,"2014"
"Rome, GA Metropolitan Statistical Area",7.9,338,"2014"
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",7.9,338,"2014"
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",8,343,"2014"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",8,343,"2014"
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",8,343,"2014"
"Albany, OR Metropolitan Statistical Area",8.1,346,"2014"
"Fayetteville, NC Metropolitan Statistical Area",8.1,346,"2014"
"Longview, WA Metropolitan Statistical Area",8.1,346,"2014"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",8.1,346,"2014"
"Dalton, GA Metropolitan Statistical Area",8.2,350,"2014"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",8.2,350,"2014"
"Rockford, IL Metropolitan Statistical Area",8.2,350,"2014"
"Albany, GA Metropolitan Statistical Area",8.3,353,"2014"
"Brownsville-Harlingen, TX Metropolitan Statistical Area",8.3,353,"2014"
"The Villages, FL Metropolitan Statistical Area",8.3,353,"2014"
"Waterbury, CT Metropolitan NECTA",8.3,353,"2014"
"Danville, IL Metropolitan Statistical Area",8.4,357,"2014"
"Medford, OR Metropolitan Statistical Area",8.4,357,"2014"
"Pine Bluff, AR Metropolitan Statistical Area",8.4,357,"2014"
"Sebring, FL Metropolitan Statistical Area",8.4,357,"2014"
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",8.4,357,"2014"
"Decatur, IL Metropolitan Statistical Area",8.5,362,"2014"
"Homosassa Springs, FL Metropolitan Statistical Area",8.5,362,"2014"
"Chico, CA Metropolitan Statistical Area",8.6,364,"2014"
"Carson City, NV Metropolitan Statistical Area",8.7,365,"2014"
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",8.7,365,"2014"
"New Bedford, MA Metropolitan NECTA",8.7,365,"2014"
"Yakima, WA Metropolitan Statistical Area",8.7,365,"2014"
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",8.8,369,"2014"
"Rocky Mount, NC Metropolitan Statistical Area",8.8,369,"2014"
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",8.8,369,"2014"
"Salinas, CA Metropolitan Statistical Area",9,372,"2014"
"Grants Pass, OR Metropolitan Statistical Area",9.4,373,"2014"
"Redding, CA Metropolitan Statistical Area",9.6,374,"2014"
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",9.9,375,"2014"
"Bakersfield, CA Metropolitan Statistical Area",10.4,376,"2014"
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",10.5,377,"2014"
"Stockton-Lodi, CA Metropolitan Statistical Area",10.5,377,"2014"
"Madera, CA Metropolitan Statistical Area",11.2,379,"2014"
"Modesto, CA Metropolitan Statistical Area",11.2,379,"2014"
"Fresno, CA Metropolitan Statistical Area",11.6,381,"2014"
"Hanford-Corcoran, CA Metropolitan Statistical Area",11.9,382,"2014"
"Yuba City, CA Metropolitan Statistical Area",12.1,383,"2014"
